Designator,Mid X,Mid Y,Rotation,Layer
C100,136.6375,-108.0,0.0,top
C101,136.4625,-119.2,0.0,top
C102,140.6,-108.0,180.0,top
C103,140.4,-119.2,180.0,top
C114,140.8,-73.8,180.0,top
D100,164.0,-76.0,90.0,top
D101,167.6,-76.0,90.0,top
D102,171.2,-76.0,90.0,top
D103,115.6,-80.15,90.0,top
D104,153.2,-76.0,90.0,top
D105,156.8,-76.0,90.0,top
D106,160.4,-76.0,90.0,top
D107,147.0,-61.8,0.0,top
D108,134.6,-61.8,180.0,top
D110,190.925,-108.4,0.0,top
D111,190.925,-110.8,0.0,top
D112,190.925,-113.3,0.0,top
D113,190.925,-118.0,0.0,top
D114,190.925,-120.4,0.0,top
D115,190.925,-122.9,0.0,top
F100,115.6,-70.1,270.0,top
J100,105.625,-91.27,0.0,top
Q100,166.21,-91.62,180.0,top
R103,172.56,-103.2,270.0,top
R104,175.1,-103.2,270.0,top
R105,177.64,-103.2,270.0,top
R106,180.18,-103.2,270.0,top
R107,135.6,-71.3875,270.0,top
R108,147.4,-71.3875,270.0,top
R109,134.0,-71.3875,270.0,top
R110,145.8,-71.3875,270.0,top
R111,136.6,-66.4875,270.0,top
R112,140.8,-61.8,180.0,top
R113,182.72,-103.1875,270.0,top
R114,185.26,-103.1875,270.0,top
U100,138.4967,-110.350001,0.0,top
U101,138.2967,-121.550001,0.0,top
U103,140.8,-68.0,90.0,top
